CL,CL_ci,CD,CD_ci,CS,CS_ci,beta
0.5949368425725244,0.008234734043883475,0.1601428512253492,0.007132136968194266,0.15278890800113754,0.007532696011663979,-20.0
0.6602005321439218,0.009246099577927706,0.12738376888631228,0.006550571671905581,0.12225925403836047,0.007964601163419509,-14.0
0.672648731210827,0.010074072998692991,0.08369215335036721,0.00858534490181138,0.14494115196968038,0.009265704467507883,-12.0
0.6695629134069205,0.008494128499317506,0.06341593280938577,0.0076784951385209885,0.1380201779179962,0.00769170968804693,-10.0
0.6895214002120347,0.008314101858238478,0.07695933723949133,0.0068459415766923565,0.13404746686275457,0.008790330639600958,-8.0
0.7105526931071182,0.009716208458656426,0.08692729411022097,0.009672922939938206,0.09073939678644342,0.009852101729020344,-6.0
0.7217468418027096,0.009802980348252874,0.08006400428389315,0.008339781707486657,0.036334631331476956,0.010401137976536622,-4.0
0.7332408273273047,0.009867067249760114,0.07539102594804395,0.008103033162156338,-0.0008596522065417299,0.012096747107211163,-2.0
0.7430356350927991,0.009465755795905533,0.09107296614730596,0.009594145605984497,-0.012588753202698342,0.008899862430882435,-0.0
0.7348563400464782,0.009957547604511596,0.07853139035018362,0.009941157579526572,-0.03601049850130377,0.009295878497760613,2.0
0.7317017269223205,0.010287333769808626,0.09238867392953022,0.01148864044092964,-0.07956400107251649,0.009145596888956772,4.0
0.7228201073779844,0.009525120894749604,0.08223588683858893,0.008788580441465348,-0.11933939622399908,0.00910255260868094,6.0
0.7044362487871086,0.008836147724992027,0.06916866648636442,0.009974855277205527,-0.16232364820111655,0.00951686927637076,8.0
0.6994023602633072,0.009862816729389714,0.10951716744181762,0.008649759453182092,-0.14735838551815378,0.009334528547714252,10.0
0.6857410285359967,0.01091079278495974,0.1155585655440508,0.009733634314745936,-0.12387944483099433,0.009973477260409149,12.0
0.6761043594426218,0.009437547938543229,0.13069932314036847,0.008436071880829833,-0.15143883342495804,0.008770438579244639,14.0
0.6332186794908031,0.009726209786985181,0.17509397115179826,0.009183660136764029,-0.16792672103645503,0.006746875836130385,20.0
